artist,id
Paul Wall,0
Chris Tomlin,1
Angie Stone,2
Tanya Tucker,3
David Crosby,4
Alejandro Escovedo,5
Thrice,6
Tori Amos,7
Jars Of Clay,8
Trans-Siberian Orchestra,9
Ted Nugent,10
Amerie,11
Jill Scott,12
Ice Cube,13
Halifax,14
Devo,15
Interpol,16
SuperHeavy,17
The Doors,18
Sugarland,19
Boz Scaggs,20
Michael Bolton,21
Bon Jovi,22
Sheryl Crow,23
Rogue Wave,24
Ellie Goulding,25
Mura Masa,26
Alan Jackson,27
4Him,28
Prince,29
Lauren Daigle,30
Dawes,31
Mormon Tabernacle Choir,32
Bee Gees,33
Hurt,34
Dropkick Murphys,35
King Curtis,36
Johnnie Taylor,37
Cameo,38
LSG,39
Lynyrd Skynyrd,40
Steely Dan,41
Jane's Addiction,42
DJ Clue,43
Soundgarden,44
Uriah Heep,45
David Houston,46
Vicente Fernandez,47
Little Big Town,48
Revis,49
North Mississippi Allstars,50
Toby Keith,51
Duff McKagan,52
Deborah Cox,53
Kamelot,54
Rickie Lee Jones,55
Red,56
Brian Culbertson,57
Eric Benet,58
Lynn Anderson,59
Mad Season,60
Shawnna,61
Biohazard,62
The Dead Weather,63
Keith Urban,64
James Galway,65
Ariel Pink,66
Kenny G,67
Wisin,68
Lauv,69
Gary Allan,70
Jennifer Lopez,71
Peter Frampton,72
Pixies,73
The Magnetic Fields,74
Snow,75
Mariah Carey,76
Donovan,77
Dave Edmunds,78
Yung Joc,79
NEEDTOBREATHE,80
Albert King,81
Kenny Chesney,82
Wavves,83
Tim McGraw,84
Warrant,85
KISS,86
Musiq Soulchild,87
New Found Glory,88
Terri Clark,89
Nils Lofgren,90
Fastway,91
Little Richard,92
Nick Lowe,93
Stevie Wonder,94
Quicksand,95
Amy Grant,96
MIKA,97
Justin Nozuka,98
Aimee Mann,99
Backstreet Boys,100
Various Artists,101
Soul Coughing,102
Queen,103
Future,104
Ghostface Killah,105
Leonard Nimoy,106
Me First And The Gimme Gimmes,107
Sparks,108
Our Lady Peace,109
Kodak Black,110
Joe Nichols,111
Ramsey Lewis,112
Dixie Chicks,113
Audio Adrenaline,114
Ministry,115
Cypress Hill,116
Boy Howdy,117
Sheena Easton,118
George Harrison,119
Waka Flocka Flame,120
Bad Religion,121
Jagged Edge,122
Todd Rundgren,123
Little Brother,124
Nanci Griffith,125
Jackson Browne,126
Ry Cooder,127
Justin Timberlake,128
Buck Owens,129
Everclear,130
Billy Paul,131
Judas Priest,132
Bob Seger,133
Switchfoot,134
Kid Rock,135
Tony Bennett,136
Steel Panther,137
Beenie Man,138
Steel Magnolia,139
Volbeat,140
A Tribe Called Quest,141
In This Moment,142
U2,143
Stereophonics,144
Chris Webby,145
Fastball,146
Stone Sour,147
Belly,148
Rhiannon Giddens,149
Vince Gill,150
The Blasters,151
Canibus,152
Robbie Robertson,153
Joe Jackson,154
Michael Jackson,155
Killswitch Engage,156
Wiz Khalifa,157
Donna Summer,158
Conor Oberst,159
Fred Hammond,160
Cam'ron,161
